Team,Matches,Actual_Points,Goals_For,Goals_Against,xG_For,xG_Against,xPTS,Variance,Position_Actual,Position_Expected
Arsenal,19,45,37,12,34.2,13.1,40.66,4.34,1,1
Manchester City,19,41,43,17,36.0,20.2,36.67,4.33,2,2
Aston Villa,19,39,30,23,21.7,27.8,21.85,17.15,3,15
Liverpool,19,33,30,26,30.2,22.5,31.35,1.65,4,4
Chelsea,19,30,32,21,32.6,26.2,30.4,-0.4,5,6
Manchester Utd,19,30,33,29,33.6,25.3,31.73,-1.73,6,3
Sunderland,19,29,20,18,16.3,26.4,18.43,10.57,7,17
Everton,19,28,20,20,21.8,26.8,22.42,5.58,8,14
Brentford,19,27,28,26,28.1,25.3,27.93,-0.93,9,9
Crystal Palace,19,27,22,21,31.1,23.6,31.16,-4.16,10,5
Fulham,19,27,26,27,21.6,25.3,23.18,3.82,11,12
Tottenham,19,26,27,23,17.8,25.0,20.52,5.48,12,16
Newcastle Utd,19,26,26,24,26.6,20.7,30.21,-4.21,13,7
Brighton,19,25,28,27,30.3,27.1,28.31,-3.31,14,8
Bournemouth,19,23,29,35,29.4,28.9,26.6,-3.6,15,10
Leeds United,19,21,25,32,26.8,26.6,26.22,-5.22,16,11
Nott'ham Forest,19,18,18,30,22.3,26.9,22.8,-4.8,17,13
West Ham,19,14,21,38,20.2,32.4,18.05,-4.05,18,19
Burnley,19,12,20,37,17.3,37.0,13.68,-1.68,19,20
Wolves,19,3,11,40,17.2,27.7,18.43,-15.43,20,18
